City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuktoyaktuk,90,CA,1561498576,88,69.44,-133.03,39.2,24.16
1,batticaloa,100,LK,1561498782,76,7.71,81.69,78.01,1.41
2,lorengau,58,PG,1561498757,84,-2.02,147.27,79.63,5.1
3,busselton,0,AU,1561498695,86,-33.64,115.35,57.0,27.96
4,locri,20,IT,1561498782,78,38.24,16.26,79.0,5.82
5,deputatskiy,0,RU,1561498782,43,69.3,139.9,65.41,7.63
6,klaksvik,72,FO,1561498783,87,62.23,-6.59,51.8,8.05
7,ushuaia,40,AR,1561498687,69,-54.81,-68.31,33.8,4.7
8,barahona,40,DO,1561498500,62,18.21,-71.1,87.8,18.34
9,qaanaaq,100,GL,1561498693,78,77.48,-69.36,35.89,4.29
10,hobart,0,AU,1561498564,86,-42.88,147.33,39.99,6.93
11,atuona,0,PF,1561498686,75,-9.8,-139.03,81.43,19.77
12,ancud,90,CL,1561498716,100,-41.87,-73.83,44.6,17.22
13,hermanus,83,ZA,1561498562,91,-34.42,19.24,57.99,10.0
14,san andres,98,PH,1561498783,92,13.32,122.68,77.29,2.44
15,casper,1,US,1561498528,22,42.87,-106.31,84.0,9.17
16,bilma,45,NE,1561498784,18,18.69,12.92,92.77,4.41
17,george town,75,MY,1561498785,94,5.42,100.33,80.6,2.24
18,bluff,0,AU,1561498721,92,-23.58,149.07,54.07,11.1
19,hasaki,20,JP,1561498705,100,35.73,140.83,70.0,2.24
20,laela,0,TZ,1561498785,65,-8.57,32.05,56.23,4.29
21,new norfolk,0,AU,1561498698,86,-42.78,147.06,39.99,6.93
22,nelson bay,75,AU,1561498785,100,-32.72,152.14,57.0,5.82
23,dingle,90,PH,1561498472,88,11.0,122.67,75.13,2.84
24,kavaratti,61,IN,1561498786,79,10.57,72.64,82.87,17.6
25,abilene,1,US,1561498533,38,32.45,-99.73,91.0,8.05
26,puerto ayora,20,EC,1561498440,61,-0.74,-90.35,80.6,20.8
27,yamandu,72,SL,1561498786,98,7.94,-11.49,74.23,2.28
28,lebanon,90,US,1561498541,93,43.64,-72.25,70.0,3.36
29,chernyy yar,40,RU,1561498786,81,64.44,40.96,51.8,2.24
30,cape town,0,ZA,1561498677,71,-33.93,18.42,59.0,12.75
31,rikitea,0,PF,1561498687,84,-23.12,-134.97,72.43,10.13
32,vila velha,0,BR,1561498787,74,-3.71,-38.6,80.6,10.29
33,port alfred,100,ZA,1561498578,90,-33.59,26.89,59.0,8.99
34,clyde river,75,CA,1561498459,86,70.47,-68.59,37.4,8.05
35,safety harbor,90,US,1561498787,56,27.99,-82.69,97.0,5.82
36,mataura,32,NZ,1561498568,83,-46.19,168.86,42.01,7.0
37,castro,90,CL,1561498701,100,-42.48,-73.76,44.6,17.22
38,tabuk,94,PH,1561498787,97,17.41,121.44,65.23,1.39
39,kavieng,81,PG,1561498702,74,-2.57,150.8,84.49,16.08
40,goroka,98,PG,1561498788,99,-6.07,145.39,53.53,1.39
41,pokosnoye,100,RU,1561498788,93,55.53,101.05,56.59,9.71
42,vaini,100,IN,1561498692,87,15.34,74.49,79.27,3.31
43,bredasdorp,86,ZA,1561498658,77,-34.53,20.04,60.8,16.11
44,qandala,33,SO,1561498788,49,11.47,49.87,92.59,17.63
45,grand island,1,US,1561498788,51,40.92,-98.34,88.0,8.05
46,hithadhoo,93,MV,1561498569,67,-0.6,73.08,84.49,5.08
47,carnarvon,0,ZA,1561498566,32,-30.97,22.13,48.49,12.33
48,cabo san lucas,5,MX,1561498745,29,22.89,-109.91,99.0,8.05
49,chicama,0,PE,1561498789,77,-7.84,-79.15,68.0,10.29
50,kaitangata,0,NZ,1561498712,74,-46.28,169.85,41.0,8.99
51,santa maria,90,BR,1561498616,93,-29.69,-53.81,51.8,8.05
52,saint-francois,0,FR,1561498789,69,46.42,3.91,77.0,3.36
53,itajobi,40,BR,1561498789,32,-21.31,-49.06,82.4,3.36
54,lompoc,90,US,1561498718,72,34.64,-120.46,71.6,12.75
55,zhigansk,54,RU,1561498789,66,66.77,123.37,67.39,13.15
56,yazykovo,63,RU,1561498789,90,54.3,47.38,52.63,4.7
57,aksu,0,KZ,1561498790,93,52.04,76.93,59.0,6.71
58,port elizabeth,20,US,1561498715,48,39.31,-74.98,89.01,13.87
59,safakulevo,31,RU,1561498790,94,54.99,62.54,54.97,8.28
60,albany,75,US,1561498682,54,42.65,-73.75,84.2,7.29
61,chokurdakh,0,RU,1561498748,35,70.62,147.9,70.99,11.14
62,mareeba,90,AU,1561498491,73,-16.99,145.42,69.8,9.17
63,bulgan,86,MN,1561498766,57,48.81,103.53,44.53,3.78
64,lyngseidet,75,NO,1561498791,81,69.58,20.21,48.2,18.34
65,bilibino,41,RU,1561498578,28,68.06,166.44,57.85,6.78
66,sterlibashevo,0,RU,1561498791,89,53.44,55.26,51.55,6.22
67,punta arenas,40,CL,1561498562,74,-53.16,-70.91,37.4,12.75
68,ribeira grande,75,PT,1561498774,68,38.52,-28.7,68.0,5.82
69,finschhafen,100,PG,1561498646,99,-6.6,147.85,65.95,1.66
